customer_id,age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status
CUST100000,40,Employed,17.2,25579,692,5.3,895,10820,0,0,0,Credit Card,Business,600,17.02,0.423,0.023,0.008,1
CUST100001,33,Employed,7.3,43087,627,3.5,169,16550,0,1,0,Personal Loan,Home Improvement,53300,14.1,0.384,1.237,0.412,0
CUST100002,42,Student,1.1,20840,689,8.4,17,7852,0,0,0,Credit Card,Debt Consolidation,2100,18.33,0.377,0.101,0.034,1
CUST100003,53,Student,0.5,29147,692,9.8,1480,11603,0,1,0,Credit Card,Business,2900,18.74,0.398,0.099,0.033,1
CUST100004,32,Employed,12.5,63657,630,7.2,209,12424,0,0,0,Personal Loan,Education,99600,13.92,0.195,1.565,0.522,1
CUST100005,32,Employed,13.4,32015,570,7.3,253,1120,0,0,2,Credit Card,Personal,37000,22.92,0.035,1.156,0.385,0
CUST100006,53,Employed,22.9,44989,674,11.1,19667,19298,0,0,0,Personal Loan,Home Improvement,45600,11.02,0.429,1.014,0.338,1
CUST100007,44,Self-Employed,4.2,80603,625,18.5,830,38382,0,0,0,Credit Card,Personal,51700,19.42,0.476,0.641,0.214,1
CUST100008,29,Employed,5.9,28416,569,2.6,1334,22668,1,2,0,Credit Card,Education,33800,22.72,0.798,1.189,0.396,0
CUST100009,41,Employed,7.0,70717,638,21.5,1578,21394,0,1,0,Credit Card,Personal,70000,19.35,0.303,0.99,0.33,1
CUST100010,29,Employed,5.0,15000,657,8.9,2105,3866,0,0,0,Line of Credit,Education,5000,9.24,0.258,0.333,0.111,1
CUST100011,29,Student,1.3,17029,668,4.3,215,5592,0,0,0,Line of Credit,Personal,6300,9.69,0.328,0.37,0.123,1
CUST100012,37,Employed,1.3,49084,580,11.3,1289,21106,0,0,1,Line of Credit,Medical,40800,13.12,0.43,0.831,0.277,0
CUST100013,18,Employed,0.0,55958,681,1.4,378,14090,0,0,0,Credit Card,Education,18000,17.78,0.252,0.322,0.107,1
CUST100014,18,Self-Employed,1.0,99020,561,1.6,538,13733,0,1,1,Credit Card,Medical,35700,21.57,0.139,0.361,0.12,0
CUST100015,28,Employed,0.4,59609,654,2.6,881,9183,0,0,0,Credit Card,Debt Consolidation,19500,17.33,0.154,0.327,0.109,1
CUST100016,22,Self-Employed,1.0,82604,605,3.5,9216,16116,0,0,0,Line of Credit,Personal,50000,12.57,0.195,0.605,0.202,1
CUST100017,38,Employed,5.3,53356,671,19.8,6339,23085,0,1,0,Credit Card,Debt Consolidation,18700,17.58,0.433,0.35,0.117,1
CUST100018,24,Employed,5.4,18675,531,3.3,11,3280,0,2,0,Credit Card,Medical,9500,22.49,0.176,0.509,0.17,0
CUST100019,18,Self-Employed,1.0,55309,597,1.5,346,2930,0,0,0,Personal Loan,Debt Consolidation,50400,16.13,0.053,0.911,0.304,0
CUST100020,52,Employed,31.3,75932,695,2.1,1283,10655,0,0,0,Personal Loan,Home Improvement,96000,11.05,0.14,1.264,0.421,1
CUST100021,32,Employed,1.3,109702,720,10.4,2790,42534,0,0,0,Credit Card,Personal,4000,17.41,0.388,0.036,0.012,1
CUST100022,35,Employed,16.9,68117,698,16.3,549,20450,0,0,0,Credit Card,Home Improvement,16400,17.7,0.3,0.241,0.08,1
CUST100023,18,Student,0.3,33556,574,1.5,91,10727,0,1,1,Credit Card,Business,3400,21.47,0.32,0.101,0.034,0
